N	Z	A	El	Mass Excess	Binding Energy	Decay Channel
129	91	220	Pa	20218	7656	alpha
128	92	220	U 	22933	7640	Bplus
127	93	220	Np	30311	7603	Bplus
138	83	221	Bi	24098	7668	Bminus
137	84	221	Po	19773.755	7684.481	Bminus
136	85	221	At	16782.727	7694.475	Bminus
135	86	221	Rn	14471.42	7701.393	Bminus
134	87	221	Fr	13277.29	7703.256	alpha
133	88	221	Ra	12963.811	7701.135	alpha
132	89	221	Ac	14523.109	7690.539	alpha
131	90	221	Th	16940.371	7676.061	alpha
130	91	221	Pa	20376.288	7656.974	alpha
129	92	221	U 	24519.995	7634.684	alpha
128	93	221	Np	29850	7607	Bplus
139	83	222	Bi	28729	7649	Bminus
138	84	222	Po	22486.265	7674.005	Bminus
137	85	222	At	20953.026	7677.387	Bminus
136	86	222	Rn	16372.206	7694.497	alpha
135	87	222	Fr	16378.105	7690.947	Bminus
134	88	222	Ra	14320.188	7696.692	alpha
133	89	222	Ac	16621.474	7682.802	alpha
132	90	222	Th	17203.111	7676.658	alpha
131	91	222	Pa	22155	7651	alpha
130	92	222	U 	24272.827	7637.764	alpha
129	93	222	Np	31019	7604	Bplus
140	83	223	Bi	32137	7636	Bminus
139	84	223	Po	27079	7655	Bminus
138	85	223	At	23428.006	7668.055	Bminus
137	86	223	Rn	20389.739	7678.171	Bminus
136	87	223	Fr	18382.394	7683.664	Bminus
135	88	223	Ra	17233.309	7685.309	alpha
134	89	223	Ac	17825.882	7679.143	alpha
133	90	223	Th	19385.831	7668.64	alpha
132	91	223	Pa	22320.676	7651.971	alpha
131	92	223	U 	25837.006	7632.694	alpha
130	93	223	Np	30600	7608	Bplus
141	83	224	Bi	36830	7617	Bminus
140	84	224	Po	29910	7644	Bminus
139	85	224	At	27711.015	7650.735	Bminus
138	86	224	Rn	22445.098	7670.751	Bminus
137	87	224	Fr	21748.616	7670.367	Bminus
136	88	224	Ra	18825.917	7679.922	alpha
135	89	224	Ac	20234.135	7670.143	Bplus
134	90	224	Th	19993.734	7667.724	alpha
133	91	224	Pa	23862.278	7646.961	alpha
132	92	224	U 	25722.252	7635.165	alpha
